category,keyword
climate_physical_risk,灾害
climate_physical_risk,地震
climate_physical_risk,台风
climate_physical_risk,海啸
climate_physical_risk,洪涝
climate_physical_risk,旱涝
climate_physical_risk,水灾
climate_physical_risk,极端
climate_physical_risk,暴雨
climate_physical_risk,恶劣
climate_physical_risk,内涝
climate_physical_risk,大风
climate_physical_risk,沙尘
climate_physical_risk,冰雹
climate_physical_risk,旱灾
climate_physical_risk,飓风
climate_physical_risk,霜冻
climate_physical_risk,风暴
climate_physical_risk,泥石流
climate_physical_risk,滑坡
climate_physical_risk,洪水
climate_physical_risk,洪灾
climate_physical_risk,干旱
climate_physical_risk,暴雪
climate_physical_risk,凌冻
climate_physical_risk,雪灾
climate_physical_risk,冰雪
climate_physical_risk,气候
climate_physical_risk,天气
climate_physical_risk,自然
climate_physical_risk,潮湿
climate_physical_risk,水温
climate_physical_risk,降温
climate_physical_risk,寒冷
climate_physical_risk,气温
climate_physical_risk,降雨
climate_physical_risk,温度
climate_physical_risk,雨水
climate_physical_risk,雨季
climate_physical_risk,冰冻
climate_physical_risk,早霜
climate_physical_risk,低温
climate_physical_risk,高温
climate_physical_risk,雨雪
climate_physical_risk,灾情
climate_physical_risk,凝冻
climate_physical_risk,水患
climate_physical_risk,山洪
climate_physical_risk,震灾
climate_physical_risk,强震
climate_physical_risk,风暴潮
climate_physical_risk,天灾
climate_physical_risk,倒春寒
climate_physical_risk,冻雨
climate_physical_risk,气候异常
climate_physical_risk,少雨
climate_physical_risk,强降雨
climate_physical_risk,阴雨
climate_physical_risk,大雪
climate_physical_risk,反常
climate_physical_risk,暴风雪
climate_physical_risk,干燥
climate_physical_risk,缺水
climate_physical_risk,淤积
climate_physical_risk,空气污染
climate_physical_risk,水质污染
climate_physical_risk,雾霾
climate_physical_risk,沙尘暴
climate_physical_risk,冻害
climate_physical_risk,虫灾
climate_physical_risk,寒害
climate_physical_risk,强风
climate_physical_risk,自然灾害
climate_physical_risk,大雾
climate_physical_risk,雨天
climate_physical_risk,冬季
climate_physical_risk,严寒
climate_physical_risk,炎热
climate_physical_risk,高寒
climate_physical_risk,冬天
climate_physical_risk,大旱
climate_physical_risk,晚霜
climate_physical_risk,寒流
climate_physical_risk,百年不遇
climate_physical_risk,天旱
climate_physical_risk,袭击
climate_physical_risk,地理环境
climate_physical_risk,天气状况
climate_physical_risk,季节
climate_physical_risk,风速
climate_physical_risk,降水量
climate_physical_risk,水位
climate_physical_risk,夏季
climate_physical_risk,盐度
climate_physical_risk,湿度
climate_physical_risk,含水量
climate_physical_risk,水压
climate_physical_risk,风沙
climate_physical_risk,湿热
climate_physical_risk,雨淋
climate_physical_risk,雷击
climate_physical_risk,冲毁
climate_physical_risk,汛期
climate_physical_risk,温湿度
climate_physical_risk,相对湿度
climate_physical_risk,冲刷
climate_physical_risk,酷暑
climate_physical_risk,光照
climate_physical_risk,升温
climate_physical_risk,过热
climate_physical_risk,来水
climate_physical_risk,水情
climate_physical_risk,气象预报
climate_physical_risk,水文
climate_physical_risk,气象
climate_physical_risk,咸潮
climate_physical_risk,墒情
climate_physical_risk,泥沙
climate_physical_risk,积雪
climate_physical_risk,水源
climate_physical_risk,地下水
climate_physical_risk,风潮
climate_physical_risk,强热带
climate_physical_risk,暖冬
climate_physical_risk,热带风暴
climate_physical_risk,暴风雨
climate_physical_risk,厄尔尼诺
