category,keyword
artificial_intelligence,人工智能
artificial_intelligence,商业智能
artificial_intelligence,图像理解
artificial_intelligence,投资决策辅助系统
artificial_intelligence,智能数据分析
artificial_intelligence,智能机器人
artificial_intelligence,机器学习
artificial_intelligence,深度学习
artificial_intelligence,语义搜索
artificial_intelligence,生物识别技术
artificial_intelligence,人脸识别
artificial_intelligence,语音识别
artificial_intelligence,身份验证
artificial_intelligence,自动驾驶
artificial_intelligence,自然语言处理
big_data,大数据
big_data,数据挖掘
big_data,文本挖掘
big_data,数据可视化
big_data,异构数据
big_data,征信
big_data,增强现实
big_data,混合现实
big_data,虚拟现实
cloud_computing,云计算
cloud_computing,流计算
cloud_computing,图计算
cloud_computing,内存计算
cloud_computing,多方安全计算
cloud_computing,类脑计算
cloud_computing,绿色计算
cloud_computing,认知计算
cloud_computing,融合架构
cloud_computing,亿级并发
cloud_computing,EB级存储
cloud_computing,物联网
cloud_computing,信息物理系统
blockchain,区块链
blockchain,数字货币
blockchain,分布式计算
blockchain,差分隐私技术
blockchain,智能金融合约
digital_application,移动互联网
digital_application,工业互联网
digital_application,移动互联
digital_application,互联网医疗
digital_application,电子商务
digital_application,移动支付
digital_application,第三方支付
digital_application,NFC支付
digital_application,智能能源
digital_application,B2B
digital_application,B2C
digital_application,C2B
digital_application,C2C
digital_application,O2O
digital_application,网联
digital_application,智能穿戴
digital_application,智慧农业
digital_application,智能交通
digital_application,智能医疗
digital_application,智能客服
digital_application,智能家居
digital_application,智能投顾
digital_application,智能文旅
digital_application,智能环保
digital_application,智能电网
digital_application,智能营销
digital_application,数字营销
digital_application,无人零售
digital_application,互联网金融
digital_application,数字金融
digital_application,Fintech
digital_application,金融科技
digital_application,量化金融
digital_application,开放银行
